                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2775,                 1.2459,                 1.2593,                 0.3693,                 0.8547,                0.36639,                0.22635,                   1.85,                 1.6333,                 1.9494,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2776,                 0.7919,                 1.2697,                0.56545,                0.79105,                0.67571,                0.31546,                 1.9555,                 1.5362,                  2.137,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2503,                0.74166,                 1.2539,                0.88828,                0.92414,                0.91112,                0.62568,                 1.5587,                0.90721,                 1.7677,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2253,                0.69471,                 1.2404,                0.94672,                0.90406,                0.93934,                0.63521,                 2.0279,                 0.8948,                 2.3894,               0.001703,               0.001703,               0.001703
                      5,                 1.1884,                0.65676,                 1.2248,                0.88293,                 0.8523,                0.88116,                0.57308,                 1.8431,                0.99608,                 2.0798,               0.001604,               0.001604,               0.001604
                      6,                 1.1651,                0.62411,                 1.2072,                0.87016,                0.84179,                0.90404,                0.59675,                 1.5161,                0.96565,                 1.8009,               0.001505,               0.001505,               0.001505
                      7,                 1.1482,                 0.6056,                  1.196,                0.90779,                 0.8893,                0.91489,                0.61259,                 1.9333,                0.88263,                 2.0934,               0.001406,               0.001406,               0.001406
                      8,                 1.1344,                0.58932,                 1.1892,                0.98367,                0.93893,                0.98051,                0.65962,                 1.2099,                0.48947,                 1.2265,               0.001307,               0.001307,               0.001307
                      9,                 1.1193,                0.56831,                 1.1795,                0.98333,                0.95324,                0.98081,                0.67677,                 1.1767,                 0.4708,                 1.2184,               0.001208,               0.001208,               0.001208
                     10,                 1.0964,                0.54567,                 1.1663,                0.97927,                0.95706,                0.98053,                0.66728,                 1.1772,                0.45157,                 1.2211,               0.001109,               0.001109,               0.001109
                     11,                 1.0849,                0.47387,                 1.1948,                0.98146,                0.95706,                0.98259,                 0.6842,                 1.1461,                 0.4618,                 1.1925,                0.00101,                0.00101,                0.00101
                     12,                 1.0676,                0.45737,                 1.1826,                0.98825,                0.95229,                0.98349,                0.68396,                  1.142,                0.45518,                 1.1965,               0.000911,               0.000911,               0.000911
                     13,                 1.0529,                0.44447,                 1.1699,                0.98343,                0.96255,                0.98547,                0.68873,                 1.1433,                0.44191,                 1.1912,               0.000812,               0.000812,               0.000812
                     14,                 1.0372,                0.43019,                 1.1678,                0.98816,                0.95525,                0.97878,                0.69505,                 1.1236,                0.43122,                 1.1814,               0.000713,               0.000713,               0.000713
                     15,                 1.0251,                0.42094,                 1.1594,                 0.9813,                0.95147,                0.98186,                0.69471,                 1.1301,                0.42708,                 1.1851,               0.000614,               0.000614,               0.000614
                     16,                 1.0075,                0.40692,                 1.1519,                0.98819,                0.96279,                0.98448,                0.69783,                 1.1314,                0.40742,                 1.1799,               0.000515,               0.000515,               0.000515
                     17,                0.99223,                0.39445,                 1.1391,                0.98143,                0.95832,                0.98256,                0.70034,                 1.1228,                0.41414,                 1.1827,               0.000416,               0.000416,               0.000416
                     18,                0.98111,                0.38454,                 1.1312,                0.98441,                0.96088,                0.98158,                0.69759,                 1.1223,                0.40659,                 1.1805,               0.000317,               0.000317,               0.000317
                     19,                0.96949,                0.37414,                 1.1271,                0.98924,                0.96538,                0.98583,                0.69954,                 1.1228,                0.39818,                 1.1804,               0.000218,               0.000218,               0.000218
                     20,                0.95567,                0.36371,                 1.1176,                0.98538,                0.96464,                0.98425,                0.70118,                 1.1196,                 0.3967,                 1.1831,               0.000119,               0.000119,               0.000119
